Category 1,Category 2,Cat. 1,Cat. 2,top_3_asin
Cables,Computer,Cables,Telcom Network,"['Hama Oreillette-micro pour téléphone sans fil (casque à pince sans fil, pour une oreille, jack 2,5mm) Noir/Chrome', ""Hama Casque-Micro pour téléphones sans Fil (Intra-Auriculaire, Contour d'oreille Réglable, Bras de Micro Flexible, Jack 2.5 mm, Qualité Audio Cristaline, 32 Ω, 1.2m, Garantie 10ans) Noir"", 'Hama Casque-Micro pour téléphone sans Fil (Casque Supra aural avec Arceau Ouvert Ajustable, Réglage Volume sur Le câble, Jack 2.5 mm, 1.20 m, Garantie 10ans) Noir/Argent']"
Cables,Computer,Home & Outdoor,Energy,"[""Hama Câble d'alimentation 1.5m Fiche Euro Type C vers C7 Figure 8 - Garantie 10ans (Cordon Alimentation Fiche Bipolaire Figure 8, pour PC, Ecran, Imprimante, DVD) Noir"", ""Hama Câble d'alimentation Secteur avec Terre (câble Alimentation pour Ordinateur/Notebook/TV, Adaptateur Secteur, Prise de Terre Type F, Fiche trèfle à 3 Broches, 1.5 m, Garantie 10ans) Noir"", nan]"
Cables,Computer,IT & Office,Cables & Adapters,"['Hama Adaptateur Bluetooth 5.0 (Dongle Bluetooth USB, Clé Bluetooth Plug&Play pour PC, Casque, Souris, Manette, Clavier, Imprimantes, Smartphone, Tablette, Compatible avec Windows 10/8.1/7) Noir', 'Hama Câble USB pour iPhone/iPad (Connect. Lightning, USB 2.0, métal, 0,75m) Argenté, Noir', 'Hama Câble réseau RJ45 ""Droit"" Ethernet Cat 5e STP (câble de raccordement de 10 m, 1000 Mbit/s, plaqué or, blindé) gris']"
Cables,Computer,IT & Office,Holders & Attachments,[nan]
Cables,Computer,IT & Office,IT Essentials,"[nan, nan, nan]"
Cables,Computer,IT & Office,Installation & Tools,"[""Hama Jeu de tournevis (pour appareils electroniques, montre, Lunettes, Maquettisme, Téléphone, Ordinateur, 12 inserts amovibles (Phillips, Torx, Pentalob), ensemble d'outils, 14 pièces) Noir/Argent"", 'Hama Lot de Mini-Tournevis 24 en 1 avec Pochette (idéal Petites Réparations Electronique, Manche en Aluminium, 24 Embouts interchangeables, Garantie 10ans) Noir']"
Cables,Computer,Mobile Communication,Cables & Adapters,"[nan, nan]"
Cables,Computer,Mobile Communication,Home Phone Devices,"[""Hama Casque-Micro pour téléphones sans Fil (Intra-Auriculaire, Contour d'oreille Réglable, Bras de Micro Flexible, Jack 2.5 mm, Qualité Audio Cristaline, 32 Ω, 1.2m, Garantie 10ans) Noir"", 'Hama Casque-Micro pour téléphone sans Fil (Casque Supra aural avec Arceau Ouvert Ajustable, Réglage Volume sur Le câble, Jack 2.5 mm, 1.20 m, Garantie 10ans) Noir/Argent', nan]"
Cables,Ecosentials,Cables,Ecosentials,"[nan, nan]"
Cables,Ecosentials,IT & Office,Cables & Adapters,"[nan, nan]"
Computing & Tablet,Mouse/Keyboards,Computing & Tablet,Mouse/Keyboards,"['Hama Souris Optique sans Fil Riano (Souris Gauche sans Fil, avec récepteur Nano USB, Vertical, 800-1600 dpi, Interrupteur de Marche/arrêt, 3 Boutons, 2,4 GHz) Noir', 'Hama EMW-700 Souris Verticale Ergonomique sans Fil - Technologie 2.4Ghz & Bluetooth® 4.2, Rechageable en USB C, Eclairage RGB, Capteur 2400 dpi, Multi-Devices - Grise Anthracite', 'Hama Souris Optique à 3 Boutons MC-200, Filaire, Blanche']"
Computing & Tablet,Mouse/Keyboards,IT & Office,IT Essentials,"['Hama Souris Optique sans Fil Riano (Souris Gauche sans Fil, avec récepteur Nano USB, Vertical, 800-1600 dpi, Interrupteur de Marche/arrêt, 3 Boutons, 2,4 GHz) Noir', 'Hama EMW-500 Souris Verticale Ergonomique Filaire - USB A, Capteur 1800 dpi, Droitier/e - Noire', 'Hama Souris Ergonomique sans Fil (Souris Verticale sans câble pour droitiers, Souris sans Fil sans Fil avec capteur Optique 1000/1400/1800 dpi) Noire, Prise USB Type-A, Pile AA Mignon']"
Computing & Tablet,Notebook Bags,Computing & Tablet,Notebook Bags,"['Hama Sacoche de Rangement Sportsline (Sacoche de projecteur, Ordinateur et disques durs, Taille L, 27 x 39 x 15 cm, rembourré, pour Acer, BenQ, Epson, LG, Optoma BeamerL) Noir', nan, nan]"
Computing & Tablet,Notebook Bags,IT & Office,Bags & Covers,"[""Hama Housse Ordinateur 13.3 Pouces (Pochette Ordinateur Neoprene, Protection Laptop, jusqu'à 34 cm) Noire"", nan, nan]"
Computing & Tablet,Notebook Bags,Imaging & Optics,Bags & Covers,"['Hama Sacoche de Rangement Sportsline (Sacoche de projecteur, Ordinateur et disques durs, Taille L, 27 x 39 x 15 cm, rembourré, pour Acer, BenQ, Epson, LG, Optoma BeamerL) Noir', nan]"
Computing & Tablet,PC & Notebook Accessories,Computing & Tablet,Mouse/Keyboards,"['Hama Tapis de Souris pour Souris Laser (Auto-adhésif, Amovible) Noir', 'Tapis de souris, Rouge', 'Hama Tapis de souris aspect cuir (22 x 18 cm, Tapis de souris Office aspect cuir, glisse optimale, dessous antidérapant) Noir']"
Computing & Tablet,PC & Notebook Accessories,Computing & Tablet,PC & Notebook Accessories,"['Hama Ventilateur USB avec affichage de la température', ""Hama Support pour Ordinateur Portable Carbone (Support pour Ordinateur Portable jusqu'à 47 cm, Hauteur 8 cm, Pieds en Caoutchouc antidérapants, Aspect Carbone) Noir"", 'Hama Antivol à combinaison (pour ordinateur portable, câble de 1,8 m, diamètre de 4 mm, sans clé, avec code) Argent']"
Computing & Tablet,PC & Notebook Accessories,IT & Office,Bags & Covers,"['Hama Étui Hard Drive Case (pour Disque Dur, 2,5"", néoprène, Étui de Protection pour Disque Dur Externe 6,4"", Accessoire, néoprène) Noir', nan]"
Computing & Tablet,PC & Notebook Accessories,IT & Office,Gadgets,"['Ventilateur USB avec LEDs de couleur', 'Hama Ventilateur USB avec affichage de la température', 'Hama Ventilateur de table USB (Mini Ventilateur de bureau 10 cm (4""), Bouton ON/OFF, inclinable, idéal aussi pour Chambre, Voiture, Camping) Noir']"
Computing & Tablet,PC & Notebook Accessories,IT & Office,Holders & Attachments,"[""Hama Support pour Ordinateur Portable Carbone (Support pour Ordinateur Portable jusqu'à 47 cm, Hauteur 8 cm, Pieds en Caoutchouc antidérapants, Aspect Carbone) Noir"", 'Hama Support pour ordinateur portable ""Aluminium"" (support pour ordinateur portable jusqu\'à 39,4 cm, hauteur 7 cm, antidérapant, pliable, ventilation optimale, pour ordinateur) Argent', nan]"
