Category 1,Category 2,Cat. 1,Cat. 2,top_3_asin
Home & Office,Housewares,Home & Outdoor,Household Essentials,"['Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent', 'Xavax Mousseur à lait ""Milchicopter"" (Batteur à lait en acier, moteur très puissant à 14 000 tours/minute, spirale spéciale, nettoyage facile, mousseur à lait, balai Matcha) Noir', 'Xavax Filtre permanent pour machine à café et thé (Ø 12 cm, hauteur 10 cm, maillage en acier inoxydable, réutilisable, va au lave-vaisselle, rechange pour taille 4) Noir']"
Home & Office,Housewares,Home & Outdoor,Protection & Care,[nan]
Home & Office,Maintenance & Care Household,Home & Office,Maintenance & Care Household,"['Xavax Graisse silicone multiple ""OKS 1110"" (pour l\'entretien des machines à café, des raccords et des joints d\'étanchéité, sans danger pour les aliments, transparent, 20 g) Blanc/Bleu', nan]"
Home & Office,Maintenance & Care Household,Home & Outdoor,Household Essentials,"['Xavax Graisse silicone multiple ""OKS 1110"" (pour l\'entretien des machines à café, des raccords et des joints d\'étanchéité, sans danger pour les aliments, transparent, 20 g) Blanc/Bleu']"
Home & Office,Maintenance & Care Household,Home & Outdoor,Protection & Care,[nan]
Home & Office,Maintenance & Care Office,Home & Office,Maintenance & Care Office,"['Chiffons pour écrans, 100 pièces, dans un distributeur', 'Hama Gel de nettoyage (pour écran LCD / TFT avec chiffon en microfibre, 200 ml) Gris/Bleu', 'Couvercle Pare-poussière pour Clavier, Transparent']"
Home & Office,Maintenance & Care Office,IT & Office,IT Essentials,"['Hama Chiffon 3 en 1 (pour ordinateur portable avec écran de 40 cm (15,6""), tapis de souris, en microfibre, film de protection, chiffon de nettoyage) Anthracite']"
Home & Office,Maintenance & Care Office,IT & Office,Protection & Care,"['Chiffons pour écrans, 100 pièces, dans un distributeur', 'Couvercle Pare-poussière pour Clavier, Transparent', 'Hama Gel de nettoyage (pour écran LCD / TFT avec chiffon en microfibre, 200 ml) Gris/Bleu']"
Home & Office,Shredders & Lamination,Home & Office,Shredders & Lamination,"[""Hama Destructeur de Documents Mini S6 (Broyeur Documents 6 Feuilles 80g, Destructeur Papier, Déchiqueteur sécurité P1, 72 DB, M/A Auto, Fonction Retour, s'adapte sur des Corbeilles à Papier) Noir"", 'Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir', 'Hama Destructeur de Documents Home X12CD (Broyeur Documents 12 Feuilles 80g, Destructeur CD/CB, Niveaux de sécurité E3 P4 T4, LED on/Off et surchauffe, 72 DB, M/A Auto, Corbeil 21L) Noir']"
Home & Office,Shredders & Lamination,IT & Office,Office Device,"['Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir', ""Hama Destructeur de Documents Mini S6 (Broyeur Documents 6 Feuilles 80g, Destructeur Papier, Déchiqueteur sécurité P1, 72 DB, M/A Auto, Fonction Retour, s'adapte sur des Corbeilles à Papier) Noir"", ""Hama Plastifieuse jusqu'à A3 (Plastifieuse à chaud/à froid, Kit de Plastification avec Feuilles Films Laminage Thermique ep. Max 80-125 Microns) Noir""]"
Home & Office,Small Domestic Appliance,Home & Office,Small Domestic Appliance,"['Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent', 'Xavax Minuteur de cuisine ""Countdown"" (avec minuterie et fonction chronomètre, fixation via un aimant, une pince, un support ou un support, à piles, numérique) Noir/Blanc', ""Xavax Balance de Précision Numérique Jewel (Pèse usqu'à 500 g, jusqu'à 0,1 g, en g/ct/psl/oz/ozt/gn, pour l'Or, Les Pièces de Monnaie, Les Bijoux, Les Pierres précieuses, …) Noir/Argent""]"
Home & Office,Small Domestic Appliance,Home & Outdoor,Household Essentials,"['Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent', 'Xavax Minuteur de cuisine ""Countdown"" (avec minuterie et fonction chronomètre, fixation via un aimant, une pince, un support ou un support, à piles, numérique) Noir/Blanc', 'Xavax Minuteur de cuisine Countdown (avec Minuterie et Fonction Chronomètre, Fixation via Un Aimant, Une Pince, Un Support ou Un Support, à Piles, numérique) Blanc/Gris']"
Home & Office,Small Domestic Appliance,Home & Outdoor,Safety & Security,"['Hama Détecteur Qualité de l’Air Intérieur Safe (Détecteur 3 en 1, Détecteur de CO², Température ambiante, Humidité de l’air, Compact, Rechargeable Micro-USB) Noir', nan]"
Home & Office,Travel & Bike,Home & Office,Travel & Bike,"['Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir', ""Hama Sangle pour Bagages (Sangle simple pour la Fermeture Sécurisée de la Valise lors d'un Voyage, 5 x 200 cm) Noir"", 'Hama Pochette ""Pare-soleil"" (pour véhicule, pour 12 CD/DVD/Blu-Ray) Noir']"
Home & Office,Travel & Bike,Home & Outdoor,Bags & Covers,"[nan, nan]"
Home & Office,Travel & Bike,Home & Outdoor,Outdoor Essentials,"['Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir', nan, nan]"
Home & Office,Travel & Bike,Home & Outdoor,Travel Essentials,"['Système de Rangement Universel pour Voiture, Grand modèle, Noir', ""Hama Cadenas à clé (pour bagage, casier de sport, pour l'école, lot de 2) Noir"", 'Porte-étiquette à bagage, lot de 2, noir']"
Home & Office,Travel & Bike,Mobile Communication,Bags & Covers,"['Hama Pochette ""Pare-soleil"" (pour véhicule, pour 12 CD/DVD/Blu-Ray) Noir', 'Etui pour véhicules, noir', nan]"
Home & Office,Travel & Bike,Mobile Communication,Gadgets,"['Gilet de sécurité ""Automotive"" pour enfant, jaune fluo', nan]"
Mobilcom,Black Rock,Mobilcom,Black Rock,"[""Black Rock Coque 'Air' (pour Apple iPhone 6S/7/8 Plus, protection parfaite, design mince, en polycarbonate, polyurethane termoplastique (PUT)) Noir"", 'Black Rock Coque pour iPhone 12/12 Pro Robust Real Carbon [Housse Technologie Active Air] [Coque Protection Moléculaire] - Noir', 'Black Rock Coque pour Samsung S24, Portefeuille The Classic [Housse de Protection avec Rangement pour Carte] [Etui à Rabat] - Noir']"
Mobilcom,Black Rock,Mobile Communication,Bags & Covers,"[""Black Rock Coque de protection 'Material Pure' (pour Samsung Galaxy S8, design mince, polyuréthane (PU), protection idéale, protection à 180° ou 360°) Noir"", ""Black Rock Coque 'Air Robust' (pour Apple iPhone 11, protection parfaite, design mince, en polycarbonate, polyurethane termoplastique (PUT)) Noir"", ""Black Rock Coque de protection '360° Clear' (pour Apple iPhone 11 Pro Max, protection parfaite, design mince, en plastique, Cover 360°) Transparent""]"
Mobilcom,Black Rock,Mobile Communication,Protection & Care,"[nan, nan]"
Mobilcom,Brackets,Mobilcom,Brackets,"['Hama Support Téléphone Voiture Easy Snap (pour Smartphones d’Une Largeur de 5,5 à 8,5 cm, Support à Ventouse, pivotable 360°) Noir', 'Hama Support Téléphone Voiture Compact (pour Smartphones Largeur de 5.5 à 8.5 cm, Fixation Clip Grille aération, pivotable 360°) Noir', 'Hama Support Téléphone Voiture Magnet (Support téléphone pour Voiture aimanté, Fixation à Ventouse, pivotable 360°, Inclus 2 plaques métaliques) Noir']"
Mobilcom,Brackets,Mobile Communication,Holders & Attachments,"['Hama Support Téléphone Voiture Magnet (Support téléphone pour Voiture aimanté, Fixation à Ventouse, pivotable 360°, Inclus 2 plaques métaliques) Noir', 'Hama Support Téléphone Voiture Magnet (Support téléphone Portable pour Voiture aimanté, pivotable 360°, Fixation Clip Grille Ventilation, Inclus 2 plaques métaliques) Noir', 'Hama Support Téléphone Voiture Compact (pour Smartphones Largeur de 5.5 à 8.5 cm, Fixation Clip Grille aération, pivotable 360°) Noir']"
Mobilcom,Cables,Mobilcom,Cables,"['Hama Câble Micro-USB Reflective (Câble de charge et transfert de données USB-A 2.0 mâle vers Micro-USB, Fiche Aluminium, Cordon Réflechissant Anti-torsion, Gaine en nylon tressé, 1.5 m) Bleu', 'Hama Câble Multi USB Lightning (Cable de charge multi, 3en1, USB-A/micro-USB/USB-C, Lightning, 1 m, Certifié MFI, Câble USB universel iPhones iPads iPods Samsung Galaxy, Huawei, Xiaomi) Blanc', 'Hama Câble Audio Auxiliaire Voiture pour iPhone (Câble Apple Lightning vers Jack 3.5 mm stéréo mâle, Certifié Mfi, Gaine Textile, Compatible iPhone 12/11/X/XS/XS/XR/8P Home/Autoradio-1M) Blanc']"
Mobilcom,Cables,Mobile Communication,Cables & Adapters,"['Hama Câble Chargeur iPhone Extreme (Câble Lightning-USB 2.0, Certifié MFI, Cordon Charge Rapide/Transfert données, Nylon Tressé, 1.5m, iPad/iPhone 13/12/11/XS/XR/X/8/7/7+/6s/6/5/SE2020) Noir/Rouge', ""Hama Adaptateur Lightning Apple vers Jack 3.5mm Femelle (Adaptateur Casque pour iPhone, certifié MFI, Convertisseur d'écouteurs pour iPhone 13/12/11/ XS Max/XS/XR/X/8 Plus/7 Plus/7) Blanc"", 'Hama Câble iPhone USB-A Lightning (Câble de charge/transfert de données/Data, USB-A 2.0 mâle vers Lightning, 1.5m, Certifié MFI, 480 MBit/s, iPad/iPhone 13/12/11/XS/XR/X/8/7/7+/6s/6/5/SE2020) Noir']"
Mobilcom,Display Protection,Mobilcom,Display Protection,"['Verre de protection pour Huawei P20 lite', 'Hama Verre de protection (Full-Screen, pour Samsung Galaxy S10) Noir/Transparent', ""Hama Verre trempé de protection pour Samsung Galaxy S22 Ultra (5G) Full Screen' (Dureté 9H, 0,3mm, verre de protection anti-choc, anti-rayures, anti-traces de doigts) Transparent""]"
Mobilcom,Display Protection,Mobile Communication,Protection & Care,"['Protection d’écran en verre véritable pour iPhone 6 Pl/6s Pl/7 Pl/8 Pl', 'Protection d’écran verre véritable pour Samsung XCover 4/4s', 'Hama Protection d\'écran en verre ""Premium Crystal Glass""(pour Samsung Galaxy A40, verre trempé, classe de protection 9, type de verre trempé 10H) Transparent']"
Mobilcom,Power Chargers,Mobilcom,Energy,"['Hama 100W Chargeur Rapide Compatible iPhone, Samsung, MacBook - [Technologie GaN, PD + QC 3.0] [Recharge Optimisée] [3 Ports USB] Blanc', 'Hama 65W Chargeur Rapide Compatible iPhone, Samsung, MacBook - [Technologie GaN, PD + QC 3.0] [Recharge Optimisée] [3 Ports] Blanc', 'Hama 45W Chargeur USB C Rapide Compatible iPhone, Samsung, MacBook - [Technologie GaN, PD + QC 3.0] [Recharge Optimisée] [1 Port USB C] Noir']"
Mobilcom,Power Chargers,Mobilcom,Power Chargers,"['Hama Chargeur Rapide 33W 4 Ports USB (Chargeur Qualcomm Quick Charge 3.0, Chargeur USB, Adaptateur Secteur Charge Rapide, 1 USB-A QC, 3 USB-A) Noir', 'Hama Chargeur Secteur USB (Bloc Secteur USB-A, 6W, 5V/ 1.2A, Adaptateur Secteur Universel, Chargeur Replacement pour c) Noir', 'Hama Chargeur Secteur USB (Bloc Secteur USB-A, 6W, 5V/ 1.2A, Adaptateur Secteur Universel, Chargeur Replacement pour iPhone 14/14 Pro Max, Samsung Galaxy, Sony, Xiaomi, Huawei, Wiko) Blanc']"
Mobilcom,Power Chargers,Mobile Communication,Energy,"['Hama Chargeur Rapide iPhone 38W (Chargeur USB-C Rapide, Chargeur Qualcomm Quick Charge 3.0, Mini Compact, Chargeur PD Secteur, 1 Port USB-C PD + 1 Port USB- A QC) Blanc', 'Hama Chargeur Rapide 25W (Chargeur USB-C Rapide, Chargeur Qualcomm® Quick Charge™ 2.0/3.0, Chargeur Mini Compact, Chargeur PD) Blanc', 'Hama Chargeur Rapide 51W 5 Ports USB (Chargeur Qualcomm Quick Charge 3.0, Chargeur USB C, Adaptateur Secteur, Charge Rapide, 1 USB-A QC, 1 USB-C PD, 3 USB-A) Noir']"
Mobilcom,Power Packs,Mobilcom,Power Packs,"['Hama Power Pack Slim 5HD (Batterie Externe 5 000 mAh, Batterie Portable Charge Rapide, USB 3.0, Power Bank Compatible avec iPhone 14 13 12 11 X Samsung Xiaomi Huawei iPad etc) Blanc', 'Hama Pocket 5 - Batterie Externe [Power Bank 5 000mAh] [Batterie Portable USB C Fast Charge], Compatible avec Les iPhones Samsung et Bien Plus - Gris Anthracite', 'Hama Color 10 - Batterie Externe [Power Bank 10 000mAh] [Batterie Portable USB C Fast Charge], Compatible avec iPhones Samsung et Bien Plus - Rouge']"
Mobilcom,Power Packs,Mobile Communication,Energy,"['Hama Power Bank 20000 mAh (Batterie Externe, 1 USB C + 2 USB A, Power Pack Fast Charge, Batterie pour Smartphone, Tablette, Haut-Parleur Bluetooth, Voyants LED, Chargeur Portable + Cable 0.25m) Gris', 'Hama Power Bank 24000 mAh (Batterie Externe, 1 USB C + 2 USB A, Power Pack Fast Charge, Batterie pour Smartphone, Tablette, Haut-Parleur Bluetooth, Voyants LED, Chargeur Portable + Cable 0.25m) Gris', 'Hama Power Pack Slim 5HD (Batterie Externe 5 000 mAh, Batterie Portable Charge Rapide, USB 3.0, Power Bank Compatible avec iPhone 14 13 12 11 X Samsung Xiaomi Huawei iPad etc) Blanc']"
Mobilcom,Smartphone Cases,Mobilcom,Smartphone Cases,"['Hama Coque pour iPhone 11 ""Daily Protect [Housse de Protection avec Rangement Carte] [Etui à Rabat] - Noir', 'Hama Coque pour iPhone 15 ""Extreme Protect [Housse Anti-jaunissement] [Etui D3O®] [Coque Robuste] - Transparent', ""Hama Coque pour l'iPhone 15 Pro Extreme Protect [Housse Anti-jaunissement] [Etui D3O®] [Coque Robuste] [Compatible MagSafe] - Transparent""]"
Mobilcom,Smartphone Cases,Mobile Communication,Bags & Covers,"['Hama Coque iPhone 12/12 Pro Compatible MagSafe MagCase Finest Sense pour Apple (Etui magnétique pr Recharge à Induction, protège des Chocs Rayures & saletés, Housse élégante, Cuir synthétique) Noir', 'Hama Coque iPhone 13 Pro Max Étui Portefeuille Slim Pro pour Apple, Noir', 'Hama Coque iPhone 12 Pro Max Étui Portefeuille Slim Pro pour Apple, Noir']"
Mobilcom,Wireless Charging,Mobilcom,Wireless Charging,"['Hama Support Telephone Voiture Induction 10W FC10 Motion (QI-Charge, Chargeur Induction Voiture sans Fil, Ultra Rapide) Argenté/Noir', 'Souris Optique sans Fil Multi-Mode MT-350 Noir', 'Hama Chargeur à Induction 2000 mA QI-FC10 Set 188322 Sortie Standard de Charge à Induction Noir']"
Mobilcom,Wireless Charging,Mobile Communication,Energy,"['Hama Support Telephone Voiture Induction 10W FC10 Motion (QI-Charge, Chargeur Induction Voiture sans Fil, Ultra Rapide) Argenté/Noir', nan, nan]"
Photo & Accessories,Bags,Imaging & Optics,Bags & Covers,"['Hama Sac pour appareil photo ""Pittsburgh"", 170, noir', 'Hama Sac Photo Fancy Neopren Quad, 70E, Noir', 'Sac à dos de caméra/appareil photo ""Miami"", 150, noir/rouge']"
Photo & Accessories,Bags,Photo & Accessories,Bags,"['Hama Trolley pour caméra/Appareil Photo Miami (conçu spécialement pour Les photographes Amateurs et Professionnels, Taille du Trolley de 27 cm x 12 cm x 37 cm, 2,9 kg) Noir/Rouge', 'Hama Etui de protection photo/vidéo semi-rigide ""Colour Style"" (60L, EVA, sacoche avec coque, anti-choc, pour le voyage, appareil petit format, ultra-compact, compact, MP3, MP4, iPod) Noir', 'Sac à dos de caméra/appareil photo ""Miami"", 150, noir/rouge']"
Photo & Accessories,Card Reader,Imaging & Optics,IT Essentials,"['Hama 00124156 Lecteur de Cartes 3 en 1 USB 3.0, Noir', 'Hama USB3.0 Lecteur de Carte SD/microSD, Anthracite', 'Hama Lecteur USB 2.0 ""35en1"" (USB, lecteur cartes multiples, Lecteur de carte SD, SDHC, SDXC, Type I / II CF, MMC) Bleu']"
Photo & Accessories,Card Reader,Storage Media,Photo & Camera,"['Hama Lecteur USB 2.0 ""35en1"" (USB, lecteur cartes multiples, Lecteur de carte SD, SDHC, SDXC, Type I / II CF, MMC) Bleu', 'Hama 00124156 Lecteur de Cartes 3 en 1 USB 3.0, Noir', 'Hama USB3.0 Lecteur de Carte SD/microSD, Anthracite']"
Photo & Accessories,New Photo & Stative,Imaging & Optics,Camera Equipment,"['Tige pour Selfie Funstand 57"", avec déclench. à dist. Bluetooth, Noir', 'Hama Déclencheur à Distance Bluetooth BRS3 (Télécommande Bluetooth pour Appareil Photo de Smartphone et Tablette, portée 10m, idéal Selfies créatifs sur Instagram, TikTok, Youtube, Facebook) Noir', 'Perche à Selfies Fun 70"", Bluetooth, Noir']"
Photo & Accessories,New Photo & Stative,Imaging & Optics,Holders & Attachments,"['Hama Trépied Appareil Photo Vidéo 106.5cm Star 5"" avec Sac de Transport (Trépied Télescopique Aluminium 4 éléments, Tête 3 Voies 3D, Niveaux à Bulles intégrés, Attache Rapide) Beige', 'Hama Mini Trépied de Table Pocket II Rotation (trépied avec Support Smartphone iPhone/Samsung/GoPro, Rotatif, inclinable Paysage Portrait, idéal Voyage, Pas de vis de 1/4"") Noir', 'Hama Monopode Star 78 Mono (unidirectionnel léger à tête à Trois Voies, 61-176 cm, 3D) Champagne']"
Photo & Accessories,New Photo & Stative,Imaging & Optics,Mobile Essentials,"['Hama Ring Light LED avec Trépied 12"" 215cm \'Spotlight Steady 120 II\' (Selfie Anneau Lumineux, Lampe annulaire Réglable pour TIKtok/Youtube/Live Stream/Maquillage) Noir', ""Hama Ring Light LED avec Trépied extensible et Support Smartphone (Anneau Lumineux Selfie 26.5cm, télécommande Bluetooth, 10 niveaux d'intensité, Idéal TikTok/Youtube/Live Stream/Maquillage) Noir"", ""Hama Lampe annulaire Ringlight LED 'SpotLight Work Area 67' (pour Smartphone/Tablette, support lumineux, idéal pour les vlogers, tiktok, instagram, facebook, Youtube) Noir""]"
Photo & Accessories,New Photo & Stative,Photo & Accessories,New Photo & Stative,"['Hama Trépied Appareil Photo Vidéo 106.5cm Star 5"" avec Sac de Transport (Trépied Télescopique Aluminium 4 éléments, Tête 3 Voies 3D, Niveaux à Bulles intégrés, Attache Rapide) Beige', 'Hama Mini Trépied de Table Pocket II Rotation (trépied avec Support Smartphone iPhone/Samsung/GoPro, Rotatif, inclinable Paysage Portrait, idéal Voyage, Pas de vis de 1/4"") Noir', 'Hama Bras articulé de Telephone (Support articulé, Bras Flexible Smartphone Webcam Mirco Tablette eclairage annulaire, Support Universel Inclus, Fixation de Table à vis, Filetage 1/4"", 70cm Max) Noir']"
Photo & Accessories,Optics & Cleaning,Imaging & Optics,Bags & Covers,[nan]
Photo & Accessories,Optics & Cleaning,Imaging & Optics,Camera Equipment,"[""Hama Filtre UV (Anti-UV et Protection, Compensation 2X, Traitement antireflet, pour objectifs d'appareils Photo 52 mm, O-Haze, traité) Noir"", 'Hama Filtre polarisant (Circulaire, Traité, 72mm, 2 Couches par Face) Noir', 'Adaptateur d’Objectif pr app. Photo avec Monture C sur Object. Nikon']"
Photo & Accessories,Optics & Cleaning,Imaging & Optics,Optical Instruments,"['Hama Loupe de Lecture à LED Basic 90 LED (1 unité, grossissement x4, diamètre de 90 mm, Taille de 94 mm x 202 mm x 16 mm) Noir/Transparent', nan, nan]"
Photo & Accessories,Optics & Cleaning,Imaging & Optics,Protection & Care,"['Hama Kit de Nettoyage d\'Appareil Photo 4 en 1 ""Optic Dry (Kit de Nettoyage à Sec avec Stylo Lenspen + Chiffon Microfibre + Poire, pour Objectif Photo, Filtre, APN, Caméra Reflex, Jumelle, écran)', 'Hama Pinceau de Nettoyage pour Objectif (Lenspen) (pour Le Nettoyage des lentilles et des filtres, 12,5 cm de Long, Lenspen) Noir/Rouge', 'Hama Chiffon Antistatique Antipoussière (Chiffon de Nettoyage pour Lunettes ou Appareil Photo, Objectif, Filtre, écrans PC Smartphone ou Tablette, négatifs, Diapositives, Jumelles, 23 x 25 cm) Orange']"
Photo & Accessories,Optics & Cleaning,Photo & Accessories,Optics & Cleaning,"['Hama Kit de Nettoyage d\'Appareil Photo 4 en 1 ""Optic Dry (Kit de Nettoyage à Sec avec Stylo Lenspen + Chiffon Microfibre + Poire, pour Objectif Photo, Filtre, APN, Caméra Reflex, Jumelle, écran)', ""Hama Filtre UV (Anti-UV et Protection, Compensation 2X, Traitement antireflet, pour objectifs d'appareils Photo 52 mm, O-Haze, traité) Noir"", 'Hama Pinceau de Nettoyage pour Objectif (Lenspen) (pour Le Nettoyage des lentilles et des filtres, 12,5 cm de Long, Lenspen) Noir/Rouge']"
Photo & Accessories,Power & Kabel,Imaging & Optics,Energy,[nan]
Photo & Accessories,Power & Kabel,Photo & Accessories,Power & Cables,[nan]
Photo & Accessories,Studio & Diverse,IT & Office,Bags & Covers,"['Etui Fashion pour Sticks USB, Noir', 'Etui ""Vegas"" pour 5 clés USB, noir']"
Photo & Accessories,Studio & Diverse,Imaging & Optics,Bags & Covers,"['Hama Boîtier de Rangement Mince (pour Carte mémoires, pour 10 Cartes (Cartes CF/SM/SD/MMC/xD/Mstick)) Transparent/Noir', 'Hama Pochettes autoadhésives (pour cartes mémoire, pour cartes SD, paquet de 5, autocollantes) Blanc/Transparent', 'Coque de Protection Crystal Clear pr Samsung Galaxy S20, transpar.']"
Photo & Accessories,Studio & Diverse,Imaging & Optics,Cables & Adapters,"['Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir']"
Photo & Accessories,Studio & Diverse,Imaging & Optics,Camera Equipment,"['Hama Déclencheur Souple Appareil Photo (Déclencheur Souple Mécanique 40cm pour Appareils Fujifilm, Leica Canon Nikon Sony, Déclencheur à Filetage Femelle, Fonction Pause) Noir', 'Hama Support de Casque (Frontal, pour GoPro) Noir', 'Hama Barrette porte-flash coudée à 90° (pliable pour appareils photo / vidéo avec vis de trépied, avec poignée et boucle, 34 mm x 190 mm) Noir']"
Photo & Accessories,Studio & Diverse,Imaging & Optics,Holders & Attachments,"[nan, nan, nan]"
Photo & Accessories,Studio & Diverse,Imaging & Optics,Projection & Editing,"['Hama Adhésif Cinekett (pour films Super 8, 100 pièces, S8, 1 piste audio libre) Blanc/Rouge', 'Visionneuse LED, grossissement Triple', 'Hama Valise pour diapos/négatifs (avec paniers, pour 300 diapositives ou négatifs) Noir/Gris']"
Photo & Accessories,Studio & Diverse,Photo & Accessories,Studio & Diverse,"['Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir', 'Hama Adhésif Cinekett (pour films Super 8, 100 pièces, S8, 1 piste audio libre) Blanc/Rouge', 'Etui Fashion pour Sticks USB, Noir']"
Picture World,Album,-,-,[nan]
Picture World,Album,Imaging & Optics,Albums & Accessories,"['Hama Album photo minimax ""Designline"" (album de 13 x 16,5 cm, insertion par le haut de 100 photos format 10 x 15 cm, 100 pages (1 photo/page), pas d\'inscription) Feathers', 'Album photo ""Ayleen"", pour 200 photos au format 10 x 15 cm', 'Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir']"
Picture World,Album,Picture World,Album,"['Hama Album photo enfant ""Batzi"" (taille de l\'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron', 'Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir', 'Hama Album photo enfant ""Batzi"" (taille de l\'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours assis) Marron']"
Picture World,Picture Frames,IT & Office,Office Device,"['Hama Coupeuse à molette ""Easy Cut R 320"" (Massicot, 5 mm, 32 cm, 0,5 mm) Noir/Argent', nan, 'Hama Coupeuse à levier ""ProCut S 330 Plus"" (Massicot, 10 feuilles, 3,3 cm) Noir/Argent']"
Picture World,Picture Frames,Imaging & Optics,Gadgets,"[nan, nan, 'Hama Cadre Acrylique Amore, 10 x 15 cm']"
Picture World,Picture Frames,Imaging & Optics,Picture Frames & Accessories,"['Hama Cadre photo en plastique ""Décor Sevilla"" (taille du Cadre de 30 x 45 cm avec bordure de 9 mm x 17 mm, pour une photo de 20 x 30 cm) Or Mat', 'Hama Pêle-mêle cadres photo portr., 1 10x15cm, 1 10x10cm, 1 9x10cm', 'Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 50 x 70 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Bleu']"
Picture World,Picture Frames,Picture World,Picture Frames,"['Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir', 'Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir', 'Hama Cadre Photo Clip-Fixe (sans Bordure, 30 X 45 Cm, Anti-Reflex) Blanc']"
Picture World,Storage & Design,-,-,"['Hama Pages Intérieures Album Photo Scrapbooking (Recharge de Pages Photo Cartonnées avec Papier Cristal de Protection, 250g/m2, 23.3 x 31 cm, Perforées, 25 feuilles) Noir', 'Hama Pages Intérieures Album Photo Scrapbooking (Recharge de Pages Photo Cartonnées, 250g/m2, 23.3 x 31 cm, Perforées, 25 feuilles) Noir', 'Hama Pages Intérieures Album Photo Scrapbooking (Recharge de Pages Photo Cartonnées avec Papier Cristal de Protection, 250g/m2, 23.3 x 31 cm, Perforées, 25 feuilles) Blanc']"
Picture World,Storage & Design,Imaging & Optics,Albums & Accessories,"['Hama Étuis à négatifs, Papier Cristal, 7 Bandes de 6 négatifs, 24x36cm, 100 pièces', 'Pochettes pour 20 Diapositives encadrées de Format 5x5 cm, 25 pièces', 'Hama Étuis à négatifs, polypropylène, 7 bandes de 6 négatifs, 24x36cm, 25 pièces']"
Picture World,Storage & Design,Picture World,Album,"['Hama Album à spirales avec kit stickers créatifs DIY (50 pages blanches, Album Scrapbooking DIY Livre photo à Personnaliser, Idée cadeau fait mains, idéal journal intime)', nan]"
Picture World,Storage & Design,Picture World,Storage & Design,"['Hama 007103 - Ruban photo transparent, Blanc, 1000 pièces (2 paquets de 500 pièces)', 'Hama Distributeurs Coins photo (1000 coins, autocollants, distributeur pratique, sans acide, sans solvant, adapté albums, permet un archivage fiable, scrapbooking) Transparent', 'Hama Étuis à négatifs, polypropylène, 7 bandes de 6 négatifs, 24x36cm, 25 pièces']"
Storage Media,Computer,IT & Office,Digital Storage,"['Hama Clé USB 2.0 ""Hook-Style"", 64 GB, 15 MB/s, gris', 'Hama Clé USB C-Laeta (USB3.1/USB3.0 Type-C, 256GB, Double clé USB, pour Ordinateur Portable, téléphone Mobile, Tablette, OTG, 70 Mo/s, boîtier en métal, USB Type-C, clé de téléphone Portable) Argent', 'Hama Clé USB 3.0 ""Rotate"" (capacité de 256 GB, taux de transfert de 90 MB/s, avec accroche porte-clefs, flashpen clé usb) Bleu Pétrole']"
