Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/04/2024 - 30/04/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"1 160,00 €","20,71 %","418,20 %",125,"42,05 %","495,24 %","1 150,84 €","20,31 %","514,73 %","616,54 €","42,59 %","637,14 %",124,"42,53 %","629,41 %",1,"-50,00 %","-66,67 %"
B08SFG3JH5,"Hama Album photo ""To The Moon"" (Album souvenirs Anniversaires, Baptême, Baby Shower, Idée cadeau, 22.5x22 cm, 100 pages blanches, Zone Mémo, 200 photos 10x15 cm, Insertion latérale) Multicolore",Hama,"1 154,34 €","-24,43 %","175,00 %",99,"-24,43 %","175,00 %","1 212,64 €","-18,11 %","181,08 %","912,92 €","-18,34 %","220,20 %",104,"-18,11 %","181,08 %",,"-100,00 %","-100,00 %"
B07RHGG3S7,"Hama Horloge murale radio-pilotée ""Extra"" (avec indicateur de date et température) Blanc et Argenté",Hama,"1 087,21 €","-2,56 %",,29,"-6,45 %",,"1 197,86 €","15,16 %",,"956,16 €","10,34 %",,32,"10,34 %",,1,,
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"1 044,40 €","-29,49 %","-69,66 %",58,"-13,43 %","-71,43 %","1 038,90 €","-33,26 %","-68,29 %","590,52 €","-19,61 %","-68,61 %",57,"-19,72 %","-70,47 %",1,"-97,06 %","-75,00 %"
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"1 042,59 €","-15,02 %","159,00 %",66,"-5,71 %","175,00 %","985,95 €","-20,77 %","132,95 %","650,22 €","-12,61 %","143,70 %",62,"-12,68 %","138,46 %",2,"-60,00 %","100,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 041,25 €","-37,50 %",,5,"-37,50 %",,"1 457,75 €","0,00 %",,"1 538,00 €","-1,85 %",,7,"0,00 %",,1,,
B00CRB69MI,"Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir",Hama,"985,68 €","-17,78 %","-36,86 %",74,"-17,78 %","-45,19 %","1 012,32 €","-9,52 %","-31,99 %","616,17 €","-34,07 %","-57,31 %",76,"-9,52 %","-41,54 %",,"-100,00 %","-100,00 %"
B00AJKQ4YC,"Hama 2 Pieds Enceintes Universels (Supports Haut-Parleur, Hauteur réglable Max. 123 cm, antidérapant, Charge Max. 5 kg/Pied, câbles cachés, Haut-parleurs Hi-FI/Stéréo/Home Cinema) Noir",Hama,"934,61 €","25,18 %","-20,05 %",19,"46,15 %","0,00 %","991,92 €","32,77 %","-18,64 %","800,60 €","53,85 %","8,98 %",20,"53,85 %","0,00 %",1,"0,00 %",
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"927,50 €","-53,33 %","-0,56 %",7,"-53,33 %","0,00 %","927,50 €","-53,33 %","-12,99 %","633,77 €","-53,55 %","-6,87 %",7,"-53,33 %","-12,50 %",1,,
B0BHZFGZ5Y,"Hama Casque Audio Shell (Casque Circum-Auriculaire Stéréo, 20 Hz-20 kHz, 32 ohms, 113 DB/MW, Jack 3.52mm mâle, Adaptateur Jack 6.35mm mâle Inclus, câble Extra Long 2 m) Noir",Hama,"874,30 €","112,12 %","6 900,00 %",70,"112,12 %","6 900,00 %","874,30 €","112,12 %","6 900,00 %","734,50 €","112,07 %","9 879,62 %",70,"112,12 %","6 900,00 %",1,,
B08GRRDVN9,"Hama Destructeur de Documents Mini S6 (Broyeur Documents 6 Feuilles 80g, Destructeur Papier, Déchiqueteur sécurité P1, 72 DB, M/A Auto, Fonction Retour, s'adapte sur des Corbeilles à Papier) Noir",Hama,"866,03 €","-1,87 %",,41,"2,50 %",,"906,83 €","7,11 %",,"663,33 €","13,28 %",,43,"13,16 %",,2,"-86,67 %",
B09YVGVBH1,"Hama AMW-200 Souris sans Fil - Technologie 2.4Ghz, Capteur 1600 dpi, Technologie Smart-Link, Ambidextre - Noire",Hama,"848,67 €","-50,64 %","10 893,13 %",160,"-50,46 %","15 900,00 %","864,90 €","-48,90 %","11 103,37 %","639,15 €","-51,59 %","15 117,86 %",163,"-48,74 %","16 200,00 %",1,"-50,00 %",
B07TYWBSZN,"Hama Album photo Jumbo ""Forest"" (pour 400 photos au format 10 x 15 cm, album traditionnel enfant de 30 x 30 cm, 100 pages blanches, animaux, élégant) Marron/Beige/Vert/Orange/Jaune",Hama,"812,38 €","18,60 %","23,10 %",59,"31,11 %","47,50 %","826,17 €","22,31 %","18,54 %","543,40 €","24,62 %","60,33 %",60,"36,36 %","42,86 %",1,"-50,00 %",
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"810,03 €","-1,93 %",,51,"13,33 %",,"810,03 €","-7,96 %",,"536,52 €","5,97 %",,51,"6,25 %",,,"-100,00 %","-100,00 %"
B06X9NRXV9,"Hama Album photo vierge ""Lazise"" (album photo traditionnel 29 cm x 32 cm, 50 pages blanches, pour 250 photos 10 cm x 15 cm, format maximum 28 cm x 31 cm) Doré/Blanc",Hama,"770,24 €","14,43 %",,54,"5,88 %",,"779,54 €","13,35 %",,"511,44 €","5,64 %",,55,"5,77 %",,2,"-50,00 %","0,00 %"
B0002W5WBI,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 100) Noir/Transparent",Hama,"748,40 €","-31,03 %","-8,76 %",20,"-31,03 %","-9,09 %","748,40 €","-35,48 %","-12,74 %","530,95 €","-35,80 %","-3,93 %",20,"-35,48 %","-13,04 %",,,
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"732,73 €","-58,72 %","-69,27 %",68,"-62,22 %","-66,17 %","792,67 €","-54,83 %","-64,58 %","450,55 €","-61,57 %","-61,61 %",74,"-58,43 %","-60,64 %",1,"-83,33 %","-83,33 %"
B08HQH5PSV,"Hama Horloge Murale Numérique Jumbo (Radio-pilotée DCF, Très Grand Format d’Affichage, Affichage XL Heure-Date-température int.-humidité, à Suspendre ou Poser) Noir",Hama,"685,31 €","56,21 %","350,48 %",14,"55,56 %","366,67 %","685,31 €","56,21 %","350,48 %","589,81 €","53,44 %","390,00 %",14,"55,56 %","366,67 %",,,
B01KFL3C26,"Hama Multiprise, ""6+1"" (commutable individuellement, avec protection anti-surtension, montage mural, pivotée à 90°, longueur de douille XL, protection enfant, longueur de câble de 1,4 m) Noir",Hama,"673,22 €","0,05 %","2 737,00 %",28,"-9,68 %","2 700,00 %","673,22 €","-3,36 %","2 737,00 %","418,80 €","-14,12 %","2 885,03 %",28,"-12,50 %","2 700,00 %",3,"200,00 %",
B09FBSCB6Q,"Hama Album photo à spirale ""Craft"" (Album souvenirs mariage, anniversaire, baptême, 24x17 cm, 40 pages en papier Kraft chic à personnaliser et à coller, jusqu'à 40 photos de 10 x 15 cm) Marron",Hama,"666,51 €","4,72 %",,100,"-1,96 %",,"662,94 €","7,31 %",,"470,32 €","2,03 %",,101,"2,02 %",,1,"-90,91 %",
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"661,72 €","4,54 %","-27,29 %",45,"2,27 %","-26,23 %","706,48 €","11,61 %","-23,31 %","334,42 €","8,73 %","-20,09 %",48,"9,09 %","-22,58 %",,"-100,00 %",
B08SFFNZ4D,"Rapoo Clavier et Souris sans Fil X 1800s"" (Pack Kit Clavier Souris sans Fil 2.4GHz, Dongle Nano USB, Autonomie 12mois, Souris Optique 1000DPI, Clavier AZERTY FR, Pavé Numérique, pour PC, Laptop) Noir",Rapoo,"646,12 €","33,73 %",,38,"31,03 %",,"646,12 €","33,73 %",,"527,06 €","31,03 %",,38,"31,03 %",,1,,
B00005UPC8,"Hama Boîtier standard double (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Transparent",Hama,"625,42 €","13,62 %","82,49 %",45,"7,14 %","60,71 %","593,17 €","6,96 %","85,67 %","291,26 €","2,39 %","67,85 %",43,"2,38 %","65,38 %",,,"-100,00 %"
B00006JA17,"Hama Étuis à négatifs, Papier Cristal, 4 Bandes de 3 négatifs, 6X7 cm pour 3 negatif et jusqu'a 6 X 9 cm pour 2 negatif, 100 pièces",Hama,"624,60 €","15,38 %","155,87 %",30,"15,38 %","150,00 %","582,96 €","7,69 %","159,87 %","441,38 €","8,36 %","185,74 %",28,"7,69 %","154,55 %",1,,
B07SHMY2ZM,"Hama Horloge Murale PP-245 (Radio-pilotée DCF, Pendule sans tic tac, numérique, à LED, sans Fil, avec Piles, Format 24h, Calendrier, Jour, thermomètre 0°C à -50°C, Pause Murale ou Bureau) Noir",Hama,"620,74 €","-22,68 %","339,46 %",22,"-24,14 %","340,00 %","863,79 €","47,09 %","511,53 %","672,07 €","47,56 %","598,33 %",31,"47,62 %","520,00 %",1,"-50,00 %",
B0000AI3G4,"Hama Cadre en plastique Madrid (taille de cadre de 50 cm x 70 cm, taille de la photo de 30 cm x 45 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"618,42 €","73,68 %",,33,"73,68 %",,"618,42 €","65,00 %",,"312,16 €","61,24 %",,33,"65,00 %",,10,"-23,08 %",
B00SL6I214,"Hama Album, Bleu, 30 x 30 cm",Hama,"600,39 €","543,92 %","227,03 %",43,"514,29 %","290,91 %","627,03 €","841,49 %","241,54 %","404,10 €","800,00 %","345,88 %",45,"800,00 %","309,09 %",,"-100,00 %","-100,00 %"
B00005UPB7,"Hama Boîtier Standard (pour CD et disques Blu-Ray, Étui Protecteur pour CD, Paquet de 5) Transparent",Hama,"598,67 €","4,80 %","285,29 %",131,"4,80 %","285,29 %","603,24 €","8,20 %","288,24 %","444,59 €","9,76 %","322,17 %",132,"8,20 %","288,24 %",,"-100,00 %","-100,00 %"
B06ZZTWSQG,"Hama Multiprise Etanche 4 Prises 16A avec Interrupteur (Rallonge multiprises extra long 4m, Bloc 4 prises étanches avec couvercle Type F Schuko, 3680W, Idéal Jardin, Garage, Atelier, Chantier ) Noir",Hama,"597,71 €","-4,80 %","327,18 %",27,"-6,90 %","350,00 %","597,71 €","-10,75 %","412,62 %","355,86 €","-12,90 %","526,51 %",27,"-12,90 %","440,00 %",,"-100,00 %","-100,00 %"
B000Y138NG,"Hama Boîtier CD Slim en polypropylène, Lot de 20, Transparent",Hama,"590,78 €","179,51 %","115,72 %",63,"270,59 %","215,00 %","572,46 €","139,00 %","109,03 %","360,86 €","218,67 %","231,25 %",61,"221,05 %","205,00 %",1,"0,00 %",
B001E725JM,"Hama Blu-Ray de Nettoyage (pour tête de Lecture, pour éliminer la poussière dans Les lecteurs de Blu-Ray, Blu-Ray de Nettoyage) Blanc/Bleu/Rouge",Hama,"574,15 €","-12,78 %","3 346,28 %",37,"-11,90 %","3 600,00 %","621,46 €","-3,08 %","3 630,25 %","523,00 €","-3,80 %","3 844,19 %",40,"-2,44 %","3 900,00 %",1,"-85,71 %",
B071VWLNZB,"Hama 00137234 Alimentation pour PC",Hama,"566,44 €","-1,42 %","30,77 %",34,"0,00 %","30,77 %","633,08 €","28,85 %","46,15 %","391,62 €","30,80 %","55,50 %",38,"31,03 %","46,15 %",3,,"200,00 %"
B000EBFN70,"Hama Trépied Appareil Photo Vidéo 106.5cm Star 5"" avec Sac de Transport (Trépied Télescopique Aluminium 4 éléments, Tête 3 Voies 3D, Niveaux à Bulles intégrés, Attache Rapide) Beige",Hama,"561,24 €","-7,30 %","56,01 %",40,"-6,98 %","90,48 %","562,22 €","-4,93 %","56,28 %","434,15 €","-4,92 %","95,48 %",40,"-4,76 %","90,48 %",2,"0,00 %","100,00 %"
B096YFPTBR,"Hama Kit de Nettoyage d'Appareil Photo 4 en 1 ""Optic Dry (Kit de Nettoyage à Sec avec Stylo Lenspen + Chiffon Microfibre + Poire, pour Objectif Photo, Filtre, APN, Caméra Reflex, Jumelle, écran)",Hama,"557,83 €","84,05 %",,25,"78,57 %",,"535,41 €","90,77 %",,"458,69 €","84,41 %",,24,"84,62 %",,,,
B0009V6OD2,"Hama Boîtier Slim Double (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"553,70 €","59,36 %","45,47 %",34,"70,00 %","36,00 %","553,70 €","59,36 %","64,96 %","403,55 €","69,81 %","68,57 %",34,"70,00 %","54,55 %",,"-100,00 %","-100,00 %"
B001F536RS,"THOMSON Microphone Dynamique M135 (Microphone Karaoké Filaire, Motif cardioïde, fiche Jack 3,52 mm, Longueur de câble 3 m, idéal Karaoké, Chant, Live, Conférence, Mariage) Noir",Thomson,"539,46 €","-40,66 %","-80,92 %",54,"-40,66 %","-80,92 %","609,39 €","-28,24 %","-78,60 %","448,27 €","-31,27 %","-78,71 %",61,"-28,24 %","-78,60 %",4,"-81,82 %","-80,00 %"
B07SZ3FCZH,"Hama Album photo mémo ""Forest"" (pour 200 photos au format 10 x 15 cm, album traditionnel enfant de 22,5 x 22 cm, 100 pages blanches, animaux, élégant, emplacement CD) Marron/Beige/Vert/Orange/Jaune",Hama,"534,17 €","-33,20 %","-31,40 %",38,"-33,33 %","-34,48 %","520,11 €","-39,23 %","-34,97 %","200,73 €","-46,37 %","-48,56 %",37,"-39,34 %","-38,33 %",,"-100,00 %","-100,00 %"
B0000AI2JY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 50 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 40 cm) Noir",Hama,"531,28 €","-27,50 %",,29,"-27,50 %",,"567,92 €","-18,42 %",,"335,73 €","-18,40 %",,31,"-18,42 %",,10,"900,00 %",
B000VRFBM4,"Hama Album Photo ""Fine Art"" (format 36 x 32 cm, 50 pages noires, à spirale) Noir",Hama,"524,65 €","51,83 %","13,00 %",35,"66,67 %","16,67 %","539,64 €","70,02 %","24,95 %","289,44 €","89,47 %","42,58 %",36,"89,47 %","28,57 %",1,,
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"518,47 €","-58,19 %","99,48 %",19,"-59,57 %","111,11 %","545,84 €","-55,92 %","71,61 %","413,80 €","-57,45 %","79,35 %",20,"-57,45 %","81,82 %",1,"-85,71 %","0,00 %"
B0015NLFGE,"Hama Chemin de câbles (Bande en PVC/Aluminium pour Montage Mural TV ou au Sol, Cache-câble Demi-Rond, 100 x 7 x 2,1 cm, entrée de câble jusqu'à 8 câbles) Gris",Hama,"516,43 €","12,21 %",,26,"8,33 %",,"536,25 €","27,52 %",,"371,25 €","22,73 %",,27,"22,73 %",,,,
