Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Trimestre],Champ de vision.=[01/01/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0043W42ZU,"Xavax Mousseur à lait ""Milchicopter"" (Batteur à lait en acier, moteur très puissant à 14 000 tours/minute, spirale spéciale, nettoyage facile, mousseur à lait, balai Matcha) Noir",xavax,"830,35 €","-47,82 %","21,19 %","380,80 €","-44,55 %","8,61 %",112,"-44,55 %","20,43 %",1,"0,00 %","-50,00 %"
B079PN72PJ,"Hama Souris Optique sans Fil Riano (Souris Gauche sans Fil, avec récepteur Nano USB, Vertical, 800-1600 dpi, Interrupteur de Marche/arrêt, 3 Boutons, 2,4 GHz) Noir",Hama,"830,16 €","44,50 %","-41,32 %","562,12 €","46,75 %","-40,04 %",56,"47,37 %","-39,78 %",2,"100,00 %","-33,33 %"
B0C5JQPC2P,"Classeur avec mécanisme à 4 anneaux, larg. 70 mm, avec étui, noir/gris",Hama,"806,08 €","144,44 %","2 100,00 %","519,20 €","144,44 %","2 100,00 %",44,"144,44 %","2 100,00 %",2,,
B07T63BHGL,"Hama Album photo ""Hello Panda"" (pour 200 photos au format 10 x 15 cm, petit album de taille 22,5 x 22 cm, 100 pages blanches, panda, avec emplacement pour CD, élégant) Turquoise/Noir/Blanc",Hama,"799,17 €","18,96 %","-42,56 %","539,28 €","44,50 %","-28,46 %",78,"44,44 %","-28,44 %",1,,"-80,00 %"
B07BZVN4MB,"Hama Radio numérique ""DR350"", FM/DAB/DAB+ (pour réception FM / DAB / DAB +,radio de cuisine sous comptoir, écran couleur, fonction d'alarme, fonctionnement sur secteur) Blanc",Hama,"769,34 €","-43,01 %",,"378,00 €","-59,09 %",,9,"-59,09 %",,1,"-50,00 %",
B0000AISCX,"Hama Cadre Photo Clip-Fixe (sans Bordure, 30 X 45 Cm, Anti-Reflex) Blanc",Hama,"767,36 €","88,06 %","17,09 %","361,26 €","161,29 %","6,58 %",81,"161,29 %","6,58 %",10,"100,00 %","-50,00 %"
B001JTV1HW,"Hama Boîtier standard (pour DVD, convient également aux CD et aux Blu-ray, avec film pour l'insertion de la jaquette, lot de 5) Transparent",Hama,"766,00 €","105,97 %","-4,76 %","446,96 €","243,18 %","-14,20 %",151,"243,18 %","-14,20 %",4,"300,00 %",
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"760,85 €","-0,24 %","-81,16 %","391,44 €","75,00 %","-78,01 %",168,"75,00 %","-78,01 %",4,"300,00 %","-66,67 %"
B0000AI2JY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 50 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 40 cm) Noir",Hama,"751,32 €","110,82 %","-54,39 %","411,54 €","100,00 %","-54,21 %",38,"100,00 %","-54,22 %",4,"-50,00 %","-20,00 %"
B0002W5WE0,"Hama Boîtier Slim Double (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"750,03 €","62,73 %","-28,24 %","563,55 €","64,52 %","-8,48 %",51,"64,52 %","-8,93 %",,,"-100,00 %"
B0C5JRX9HV,"Hama Multiprise avec Interrupteur 1.4m (6 Prises typeE, Norme NF, interrupteurs général + indiv. éclairés, Protection Surtensions, Montage Mural, Sécurité Enfants, 3680W/16A) Noir",Hama,"736,44 €","209,09 %","1 600,00 %","574,26 €","209,09 %","1 600,00 %",34,"209,09 %","1 600,00 %",2,,
B08SDTHMQB,"Hama Album Photo bébé ""Our Baby"" personnalisable Scrapbooking (Album photo naissance, baptême, Cadeau d'anniversaire enfant, Style Mémo, 22,5 x 22 cm, 100 Pages, Max. 200 Photos 10x15 cm) Multicolore",Hama,"734,16 €","24,24 %","116,64 %","462,00 €","27,27 %","129,34 %",84,"27,27 %","180,00 %",,"-100,00 %","-100,00 %"
B000Y138NG,"Hama Boîtier CD Slim en polypropylène, Lot de 20, Transparent",Hama,"719,42 €","-37,17 %","2,31 %","417,20 €","-40,17 %","20,69 %",70,"-40,17 %","20,69 %",,,"-100,00 %"
B000K985GC,"Hama Boîtier Standard (pour DVD, Convient également aux CD et aux Blu-Ray, avec Film pour l'insertion de la Jaquette, Lot de 30) Noir",Hama,"718,10 €","178,32 %","31,59 %","462,66 €","175,00 %","32,00 %",33,"175,00 %","32,00 %",1,,
B07BGLLS26,"Chiffons pour écrans, 100 pièces, dans un distributeur",Hama,"703,72 €","428,87 %",,"438,48 €","414,29 %",,108,"414,29 %",,,,
B00292AZN4,"Hama Cadre photo Clip-Fixe (sans bordure, 30 x 40 cm, Reflex) Blanc",Hama,"680,27 €","-23,18 %","-26,20 %","213,73 €","-29,47 %","-19,28 %",67,"-29,47 %","-19,28 %",15,"-34,78 %","25,00 %"
B0002VFL1U,"Hama Pochettes pour CD-ROM/DVD-ROM (Pochettes CD Plastique, Pochette de Protection colorées, Lot de 100, Multicolore) Bleu/Orange/Violet/Rose/Vert",Hama,"652,65 €","-8,52 %","-26,44 %","396,90 €","-3,14 %","-65,87 %",49,"-2,00 %","-59,17 %",2,,"0,00 %"
B008JCRAGI,"Xavax Boîte de condensation pour sèche-linges à évacuation, Blanc, 28.5 x 23.5 x 23 cm",xavax,"649,74 €","-23,53 %","-36,59 %","518,70 €","-23,53 %","-36,59 %",26,"-23,53 %","-36,59 %",3,"200,00 %","200,00 %"
B06XBXLK8B,"Hama Album photo ""Lazise"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) 4 Motifs cœur aléatoires",Hama,"634,88 €","-31,82 %","-1,16 %","450,56 €","-31,90 %","-1,16 %",512,"-31,82 %","-1,16 %",2,"-60,00 %","-50,00 %"
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"631,22 €","-15,32 %","-47,91 %","362,67 €","-16,04 %","-56,99 %",157,"-16,04 %","-56,99 %",3,"-25,00 %","0,00 %"
B0CP86Q49Q,"Hama Antenne intérieure (Antenne Réception Radio Numérique (Dab/Dab+) et Analogique FM, Amplification du Signal Actif jusqu'à 30 DB, Cäble 1.5m, Fiche F mâle, Alim Secteur) Noir",Hama,"616,40 €","91,21 %",,"487,00 €","81,82 %",,20,"81,82 %",,3,"0,00 %",
B01IW9057S,"Hama Album photo traditionnel ""Rustico"" (album mémo, album de 22,5 x 22,5 cm, 100 pages blanches, 200 photos au format 10x15, idéal pour le scrapbooking, insertion des photos) Love Key",Hama,"613,53 €","-11,26 %","-2,34 %","255,76 €","-13,21 %","-2,49 %",46,"-13,21 %","-4,17 %",2,,
B00005YVI3,"Hama Étuis à négatifs, polypropylène, 7 bandes de 6 négatifs, 24x36cm, 100 pièces",Hama,"605,30 €","160,12 %",,"378,56 €","160,00 %",,13,"160,00 %",,,,
B0CKJ46BFN,"Xavax Porte-capsules de café pour Tassimo (Distributeur de capsules à café, Support Rangement pour 26 capsules, Présentoir à Capsules Tassimo) Noir mat",Xavax,"599,76 €","-7,69 %",,"411,84 €","-7,69 %",,36,"-7,69 %",,,"-100,00 %",
B0000AHICV,"Hama Boîtier CD/DVD Slim (lot de 10 boitiers standards vierges pour CD/DVD et disques Blu-ray, ultra plat) Noir/Transparent",Hama,"599,37 €","2,94 %","169,93 %","207,70 €","-17,33 %","31,91 %",62,"-17,33 %","31,91 %",1,"-66,67 %",
B0C6CK8KFG,"Hama Câble Enceinte HiFi (Cable pour enceinte, 10m, Câble Audio pour Enceinte, Câble HP de Haut Parleur en Cuivre pour Hifi et Hifi embarquée, 2 x 0.75 mm²) Transparent",Hama,"597,90 €","-26,57 %",,"364,53 €","-29,84 %",,87,"-29,84 %",,1,"0,00 %",
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"589,31 €","142,55 %","-77,41 %","120,56 €","242,50 %","-93,49 %",137,"242,50 %","-93,49 %",15,,"-73,21 %"
B005GCMZD2,"Hama Album photo à pochettes ""Singo"" (couverture souple, pour 24 photos au format 18x13 cm, résistant, protège la photo) Couleur aléatoire parmi Orange, Vert, Bleu et rose",Hama,"587,88 €","-15,55 %","43,39 %","414,64 €","-12,07 %","43,43 %",284,"-12,07 %","43,43 %",21,"950,00 %","16,67 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"569,24 €","-78,22 %","-86,84 %","286,26 €","-78,22 %","-86,43 %",76,"-78,22 %","-82,28 %",1,,"-85,71 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"563,66 €","109,54 %","-88,38 %","347,16 €","120,00 %","-89,25 %",33,"120,00 %","-89,25 %",,,"-100,00 %"
B0B636GVMW,"Hama Radio numérique DIR3300SBT (Spotify, WLAN/LAN/Dab + / FM, écran Couleur, Fonction USB, réveil et Diffusion Wi-FI, multiroom, télécommande, Application de Radio Gratuite) Blanc",Hama,"561,17 €","252,05 %",,"392,00 €","300,00 %",,4,"300,00 %",,,,
B07SZ3FCZH,"Hama Album photo mémo ""Forest"" (pour 200 photos au format 10 x 15 cm, album traditionnel enfant de 22,5 x 22 cm, 100 pages blanches, animaux, élégant, emplacement CD) Marron/Beige/Vert/Orange/Jaune",Hama,"561,11 €","-61,47 %","-79,19 %","219,30 €","-62,28 %","-82,34 %",43,"-62,28 %","-77,60 %",2,"100,00 %","-50,00 %"
B08SFG3JH5,"Hama Album photo ""To The Moon"" (Album souvenirs Anniversaires, Baptême, Baby Shower, Idée cadeau, 22.5x22 cm, 100 pages blanches, Zone Mémo, 200 photos 10x15 cm, Insertion latérale) Multicolore",Hama,"545,42 €","-0,75 %","-66,82 %","289,74 €","-26,67 %","-76,60 %",33,"-26,67 %","-76,60 %",1,,
B093WSK4SC,"Hama Radio Internet Dab/Dab+ 'DR200BT' (Radio numérique FM/Dab/Dab+ Portable, Haut Parleur Bluetooth Rechargeable USB-C, Ecran Couleur, Entrée AUX, Minuteur, 30 Présélections, 8h d'écoute) Noir",Hama,"519,38 €","-40,23 %","390,35 %","414,00 €","-40,00 %","233,33 %",12,"-40,00 %","500,00 %",3,"0,00 %",
B06XB2Y8KR,"Hama Album traditionnel ""Lazise"" (taille de l'album de 22,5 x 22 cm, pour 200 photos au format 10 cm x 15 cm, 100 pages, avec pochette CD, élégant) Blanc/Noir/Rose",Hama,"518,28 €","94,16 %","-24,24 %","318,06 €","147,83 %","-14,72 %",57,"147,83 %","-14,93 %",1,,"0,00 %"
B01MS2OU9J,"Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir",Hama,"509,46 €","42,35 %","-17,96 %","331,08 €","60,34 %","-25,00 %",93,"60,34 %","-25,00 %",,"-100,00 %",
B07T4DM8JJ,"Hama Album photos enfant mémo ""Forest"" (livre photo 100 pages à pochettes, 200 photos 10x15 cm, album souvenirs 22,5 x 22 cm, Emplacement CD, Album Motif Renards) Marron/Beige/Vert/Orange/Blanc",Hama,"508,33 €","-29,71 %","-36,39 %","225,50 €","-26,79 %","-44,56 %",41,"-26,79 %","-33,87 %",,,
B0CLD3CC7D,"Hama Support TV Mural Fixe Ultrafin Garantie 10 Ans (Support TV Mural Extra-Plat, 80kg Max, Robuste, pour écrans LCD/LED/OLED/Plasma de 94 à 229 cm (37"" à 90"") VESA Max 600x400) Gris",Hama,"496,53 €","78,83 %",,"385,88 €","69,01 %",,14,"75,00 %",,,"-100,00 %",
B0000AI2XV,"Hama Cadre-galerie photo en plastique Madrid (taille de cadre de 25 cm x 55 cm, taille de la photo de 13 cm x 18 cm, 3 photos par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"485,04 €","-20,26 %","28,23 %","306,27 €","0,00 %","78,26 %",41,"0,00 %","78,26 %",7,"600,00 %","0,00 %"
B000VRFBM4,"Hama Album Photo ""Fine Art"" (format 36 x 32 cm, 50 pages noires, à spirale) Noir",Hama,"483,86 €","-45,17 %","-43,62 %","217,08 €","-49,06 %","-53,45 %",27,"-49,06 %","-53,45 %",,,
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"482,25 €","-42,77 %","-92,56 %","218,70 €","-47,15 %","-94,45 %",27,"-47,06 %","-93,97 %",1,"-50,00 %","-94,74 %"
B001E725JM,"Hama Blu-Ray de Nettoyage (pour tête de Lecture, pour éliminer la poussière dans Les lecteurs de Blu-Ray, Blu-Ray de Nettoyage) Blanc/Bleu/Rouge",Hama,"479,35 €","11,94 %","-73,86 %","371,28 €","3,70 %","-75,00 %",28,"3,70 %","-75,00 %",,"-100,00 %","-100,00 %"
B0000AI3G4,"Hama Cadre en plastique Madrid (taille de cadre de 50 cm x 70 cm, taille de la photo de 30 cm x 45 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"468,50 €","-38,00 %","-72,00 %","242,00 €","-34,21 %","-71,26 %",25,"-34,21 %","-71,26 %",9,"-10,00 %","-66,67 %"
B0015KFAIQ,"Xavax Filtre combiné universel pour friteuses (2 filtres à graisse et à charbon actif pour friteuses, filtre combiné universel, coupe individuelle, 33 x 29,6 cm) Noir/Blanc/Gris",xavax,"466,62 €","-8,59 %","-38,86 %","288,30 €","25,68 %","-27,47 %",93,"25,68 %","-3,13 %",,,
B00006JA17,"Hama Étuis à négatifs, Papier Cristal, 4 Bandes de 3 négatifs, 6X7 cm pour 3 negatif et jusqu'a 6 X 9 cm pour 2 negatif, 100 pièces",Hama,"466,40 €","-25,20 %","460,04 %","345,62 €","-24,14 %","450,00 %",22,"-24,14 %","450,00 %",2,,
B000BGFJI6,"Hama Carte mémoire Photo (SD pour Photo/Classe 4, 2 GB - 10 MB/s) Bleu",Hama,"464,55 €","498,42 %","-55,83 %","260,20 €","354,90 %","-57,83 %",58,"346,15 %","-58,57 %",,,"-100,00 %"
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"448,79 €","-70,64 %","-64,64 %","187,86 €","-76,25 %","-50,43 %",62,"-76,25 %","-50,40 %",,"-100,00 %",
B000TCQPWG,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 20) Noir/Transparent",Hama,"447,74 €","13,26 %","-25,74 %","322,56 €","20,00 %","-23,81 %",48,"20,00 %","-23,81 %",1,,
B00UYZ1O6K,"Hama Support Mural TV Spécial Mur mensardé (pour Diagonale d'écran de 48 cm à 117 cm (19"" - 46""), pour Un Maximum de 20 kg, VESA jusqu'à 200 x 200) Noir",Hama,"432,22 €","-26,26 %",,"374,35 €","-25,11 %",,11,"-15,38 %",,2,"100,00 %",
