Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Trimestre],Champ de vision.=[01/01/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"3 099,78 €","-8,17 %","12,27 %",130,"-10,34 %","21,50 %","3 099,78 €","-8,17 %","11,27 %","1 625,00 €","-10,34 %","20,37 %",130,"-10,34 %","20,37 %",2,,"0,00 %"
B00006JDEX,"Hama Plateau Universel Hama Rond (32 cm, Taille L, Poids supporté 80 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"3 095,94 €","54,62 %","-44,12 %",166,"46,90 %","-51,60 %","3 077,73 €","52,14 %","-44,05 %","1 532,50 €","43,12 %","-63,39 %",165,"44,74 %","-51,61 %",4,"-20,00 %","-73,33 %"
B00005UPC8,"Hama Boîtier standard double (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Transparent",Hama,"3 056,94 €","19,53 %","166,18 %",306,"19,53 %","260,00 %","3 026,97 €","16,09 %","165,88 %","2 026,54 €","15,68 %","256,89 %",303,"16,09 %","260,71 %",8,"14,29 %",
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"2 825,13 €","51,75 %","37,79 %",231,"71,11 %","66,19 %","2 805,69 €","50,62 %","36,84 %","1 600,13 €","69,59 %","64,68 %",229,"69,63 %","64,75 %",3,"200,00 %","50,00 %"
B0002W5WE0,"Hama Boîtier Slim Double (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"2 595,23 €","11,37 %","95,08 %",166,"8,50 %","133,80 %","2 619,71 €","15,02 %","88,66 %","1 845,70 €","11,20 %","126,40 %",167,"11,33 %","125,68 %",4,"300,00 %","0,00 %"
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"2 531,05 €","-17,98 %","-77,39 %",28,"-17,65 %","-83,23 %","2 531,05 €","-17,98 %","-76,64 %","1 459,40 €","-17,45 %","-82,69 %",28,"-17,65 %","-82,72 %",,"-100,00 %","-100,00 %"
B003PFBLOQ,"Hama Horloge murale ""PP-245"" (radio-pilotée DCF, Pendule sans Tic Tac, Numérique, à led, sans fil, avec des piles, Format 24h, Calendrier, Jour, Thermomètre 0°C à +50°C, pause murale ou bureau) Plastique, Noir",Hama,"2 428,63 €","-45,92 %","-67,07 %",85,"-52,78 %","-69,53 %","2 360,87 €","-47,67 %","-67,88 %","1 487,24 €","-54,20 %","-70,07 %",83,"-54,14 %","-70,14 %",4,"-20,00 %","-50,00 %"
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"2 424,32 €","13 301,44 %","7,34 %",115,"11 400,00 %","7,48 %","2 403,55 €",,"2,38 %","1 645,02 €",,"2,70 %",114,,"2,70 %",4,,"-42,86 %"
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"2 320,72 €","-47,23 %","-40,67 %",159,"-45,17 %","-31,76 %","2 292,60 €","-47,80 %","-42,84 %","1 636,79 €","-46,24 %","-35,02 %",156,"-46,21 %","-35,00 %",5,"-50,00 %","-37,50 %"
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"2 280,47 €","13,61 %","16,11 %",156,"13,04 %","5,41 %","2 347,07 €","20,94 %","17,12 %","1 677,08 €","21,29 %","6,90 %",161,"21,05 %","6,62 %",5,"150,00 %","0,00 %"
